Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2011.7.22,5.74,5.908,5.71,5.858,5.858,2917500,5.778666667,5.672
2011.7.25,5.802,5.85,5.688,5.698,5.698,3366500,5.765333333,5.7224
2011.7.26,5.662,5.754,5.594,5.6,5.6,3803000,5.718666667,5.7268
2011.7.27,5.7,5.7,5.502,5.528,5.528,4792500,5.608666667,5.6848
2011.7.28,5.52,5.71,5.508,5.634,5.634,4693500,5.587333333,5.6636
2011.7.29,5.56,5.68,5.5,5.634,5.634,4741000,5.598666667,5.6188
2011.8.1,5.734,5.796,5.642,5.754,5.754,5824500,5.674,5.63
2011.8.2,5.738,5.84,5.454,5.468,5.468,7747000,5.618666667,5.6036
2011.8.3,5.5,5.566,5.268,5.44,5.44,8972500,5.554,5.586
2011.8.4,5.302,5.378,4.934,4.95,4.95,15322500,5.286,5.4492
2011.8.5,4.998,5.076,4.566,4.848,4.848,9822000,5.079333333,5.292
2011.8.8,4.62,4.888,4.62,4.728,4.728,13042500,4.842,5.0868
2011.8.9,4.83,5.09,4.74,5.012,5.012,6667000,4.862666667,4.9956
2011.8.10,5.088,5.088,4.726,4.764,4.764,7821000,4.834666667,4.8604
2011.8.11,4.808,5.15,4.8,5.06,5.06,4182500,4.945333333,4.8824
2011.8.12,5.12,5.428,5.072,5.262,5.262,5045500,5.028666667,4.9652
2011.8.15,5.324,5.35,5.186,5.246,5.246,3693000,5.189333333,5.0688
2011.8.16,5.226,5.308,5.166,5.22,5.22,2688500,5.242666667,5.1104
2011.8.17,5.278,5.33,5.102,5.166,5.166,3218500,5.210666667,5.1908
2011.8.18,5,5.03,4.694,4.852,4.852,5283000,5.079333333,5.1492
2011.8.19,4.772,4.844,4.4,4.46,4.46,6876500,4.826,4.9888
2011.8.22,4.622,4.76,4.336,4.39,4.39,4930500,4.567333333,4.8176
2011.8.23,4.386,4.622,4.3,4.592,4.592,4345000,4.480666667,4.692
2011.8.24,4.62,4.786,4.566,4.774,4.774,3421500,4.585333333,4.6136
2011.8.25,4.774,4.774,4.58,4.622,4.622,3399000,4.662666667,4.5676
2011.8.26,4.542,4.79,4.414,4.746,4.746,3809000,4.714,4.6248
2011.8.29,4.844,4.97,4.804,4.942,4.942,4017000,4.77,4.7352
2011.8.30,4.9,4.954,4.818,4.926,4.926,1831000,4.871333333,4.802
2011.8.31,4.96,5.1,4.856,4.948,4.948,4119000,4.938666667,4.8368
2011.9.1,4.932,4.974,4.768,4.8,4.8,4240500,4.891333333,4.8724
2011.9.2,4.732,4.798,4.536,4.614,4.614,3849500,4.787333333,4.846
2011.9.6,4.5,4.64,4.458,4.588,4.588,4049000,4.667333333,4.7752
2011.9.7,4.678,4.8,4.656,4.768,4.768,2296000,4.656666667,4.7436
2011.9.8,4.716,4.806,4.656,4.722,4.722,2528500,4.692666667,4.6984
2011.9.9,4.674,4.714,4.51,4.594,4.594,3346500,4.694666667,4.6572
2011.9.12,4.5,4.662,4.49,4.576,4.576,2833000,4.630666667,4.6496
2011.9.13,4.602,4.82,4.55,4.816,4.816,3632500,4.662,4.6952
2011.9.14,4.85,4.968,4.758,4.868,4.868,4154000,4.753333333,4.7152
2011.9.15,4.916,4.986,4.866,4.964,4.964,2813000,4.882666667,4.7636
2011.9.16,4.956,5.168,4.898,5.16,5.16,7085500,4.997333333,4.8768
2011.9.19,4.99,5.162,4.764,5.154,5.154,5787000,5.092666667,4.9924
2011.9.20,5.196,5.32,5.134,5.202,5.202,5902000,5.172,5.0696
2011.9.21,5.19,5.39,5.14,5.17,5.17,4938000,5.175333333,5.13
2011.9.22,5.128,5.222,4.976,5.126,5.126,3879000,5.166,5.1624
2011.9.23,5.098,5.324,5.07,5.276,5.276,5782000,5.190666667,5.1856
2011.9.26,5.304,5.304,4.98,5.104,5.104,4674000,5.168666667,5.1756
2011.9.27,5.2,5.398,5.114,5.238,5.238,3372500,5.206,5.1828
2011.9.28,5.2,5.3,4.902,4.918,4.918,3616500,5.086666667,5.1324
2011.9.29,5.144,5.164,4.71,4.824,4.824,4648000,4.993333333,5.072
2011.9.30,4.96,4.978,4.698,4.878,4.878,6680500,4.873333333,4.9924
2011.10.3,4.99,5,4.65,4.746,4.746,5116000,4.816,4.9208
2011.10.4,4.658,4.864,4.586,4.732,4.732,6001500,4.785333333,4.8196
2011.10.5,4.806,5.168,4.67,5.074,5.074,6147500,4.850666667,4.8508
2011.10.6,5.074,5.52,5.004,5.392,5.392,8845500,5.066,4.9644
2011.10.7,5.396,5.52,5.21,5.398,5.398,6558000,5.288,5.0684
2011.10.10,5.462,5.636,5.4,5.576,5.576,4617500,5.455333333,5.2344
2011.10.11,5.502,5.554,5.418,5.522,5.522,2878500,5.498666667,5.3924
2011.10.12,5.45,5.6,5.44,5.56,5.56,5617000,5.552666667,5.4896
2011.10.13,5.526,5.694,5.488,5.588,5.588,5217500,5.556666667,5.5288
2011.10.14,5.6,5.71,5.452,5.61,5.61,7002500,5.586,5.5712
2011.10.17,5.572,5.6,5.452,5.484,5.484,3772500,5.560666667,5.5528
2011.10.18,5.46,5.686,5.342,5.668,5.668,4998500,5.587333333,5.582
2011.10.19,5.604,5.612,5.46,5.514,5.514,3964500,5.555333333,5.5728
2011.10.20,5.488,5.494,5.4,5.468,5.468,4998500,5.55,5.5488
2011.10.21,5.48,5.66,5.402,5.606,5.606,5713000,5.529333333,5.548
2011.10.24,5.574,5.778,5.55,5.71,5.71,4703000,5.594666667,5.5932
2011.10.25,5.646,5.772,5.56,5.65,5.65,3272000,5.655333333,5.5896
2011.10.26,5.638,5.674,5.48,5.596,5.596,2552500,5.652,5.606
2011.10.27,5.668,5.79,5.622,5.752,5.752,4347000,5.666,5.6628
2011.10.28,5.7,6,5.602,5.974,5.974,6320000,5.774,5.7364
2011.10.31,5.9,5.902,5.75,5.874,5.874,5670000,5.866666667,5.7692
2011.11.1,5.678,5.784,5.6,5.776,5.776,3176000,5.874666667,5.7944
2011.11.2,5.8,5.852,5.65,5.742,5.742,4376500,5.797333333,5.8236
2011.11.3,6,6.498,5.906,6.492,6.492,12548500,6.003333333,5.9716
2011.11.4,6.292,6.48,6.102,6.462,6.462,15164500,6.232,6.0692
