Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2002.7.18,7070,7210,7050,7140,5539.190918,40105000,7100,7080
2002.7.19,7000,7010,6760,6830,5298.692383,43190000,7016.666667,7038
2002.7.22,6570,6690,6540,6600,5120.259766,39480000,6856.666667,6946
2002.7.23,6520,6900,6430,6900,5352.999023,41355000,6776.666667,6910
2002.7.24,6660,6740,6590,6700,5197.842285,33850000,6733.333333,6834
2002.7.25,7000,7020,6780,6780,5259.90332,47515000,6793.333333,6762
2002.7.26,6590,6660,6340,6400,4965.101563,63865000,6626.666667,6676
2002.7.29,6480,6550,6380,6500,5042.681641,28925000,6560,6656
2002.7.30,6660,6780,6660,6660,5166.808594,31170000,6520,6608
2002.7.31,6650,6740,6620,6650,5159.050781,27480000,6603.333333,6598
2002.8.1,6670,6670,6420,6490,5034.924316,26135000,6600,6540
2002.8.2,6350,6440,6240,6390,4957.344238,51860000,6510,6538
2002.8.5,6310,6340,6160,6180,4794.425781,32540000,6353.333333,6474
2002.8.6,6100,6100,5970,6000,4654.78125,61465000,6190,6342
2002.8.7,6170,6280,6130,6240,4840.974121,35240000,6140,6260
2002.8.8,6400,6400,6220,6270,4864.24707,47335000,6170,6216
2002.8.9,6390,6450,6350,6380,4949.585449,31175000,6296.666667,6214
2002.8.12,6380,6420,6260,6340,4918.553711,38830000,6330,6246
2002.8.13,6340,6490,6340,6490,5034.924316,19635000,6403.333333,6344
2002.8.14,6440,6460,6360,6440,4996.133789,35980000,6423.333333,6384
2002.8.15,6440,6440,6440,6440,4996.133789,0,6456.666667,6418
2002.8.16,6600,6660,6500,6510,5050.438477,31750000,6463.333333,6444
2002.8.19,6640,6700,6570,6660,5166.808594,23175000,6536.666667,6508
2002.8.20,6800,6940,6770,6920,5368.51709,42485000,6696.666667,6594
2002.8.21,6920,7000,6850,7000,5430.579102,40045000,6860,6706
2002.8.22,7040,7060,6930,6950,5391.789551,39610000,6956.666667,6808
2002.8.23,6950,6950,6950,6950,5391.789551,0,6966.666667,6896
2002.8.26,6840,6840,6770,6810,5283.178223,31810000,6903.333333,6926
2002.8.27,6810,6830,6660,6660,5166.808594,33835000,6806.666667,6874
2002.8.28,6500,6660,6500,6560,5089.22998,29830000,6676.666667,6786
2002.8.29,6720,6720,6480,6560,5089.22998,28695000,6593.333333,6708
2002.8.30,6520,6640,6480,6620,5135.776367,31530000,6580,6642
2002.9.2,6590,6800,6570,6800,5275.42041,28810000,6660,6640
2002.9.3,6820,6840,6650,6670,5174.565918,22945000,6696.666667,6642
2002.9.4,6520,6560,6430,6480,5027.165039,33640000,6650,6626
2002.9.5,6560,6570,6420,6420,4980.618652,17770000,6523.333333,6598
2002.9.6,6370,6490,6360,6440,4996.133789,27970000,6446.666667,6562
2002.9.9,6530,6570,6430,6470,5019.408203,22015000,6443.333333,6496
2002.9.10,6490,6600,6480,6600,5120.259766,17320000,6503.333333,6482
2002.9.11,6670,6790,6620,6730,5221.114258,26610000,6600,6532
2002.9.12,6770,6860,6710,6860,5321.966797,32885000,6730,6620
2002.9.13,6730,6740,6630,6630,5143.535645,23920000,6740,6658
2002.9.16,6680,6680,6540,6550,5081.470703,19385000,6680,6674
2002.9.17,6680,6840,6610,6840,5306.454102,33655000,6673.333333,6722
2002.9.18,6640,6700,6600,6660,5166.808594,28480000,6683.333333,6708
2002.9.19,6700,6790,6670,6700,5197.842285,21495000,6733.333333,6676
2002.9.20,6700,6700,6700,6700,5197.842285,0,6686.666667,6690
